,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-02-09,0.19,None,None,None
1,2022-09-30,2022-10-12,1.55,None,None,None
2,2022-06-30,2022-07-22,-1.11,None,None,None
3,2021-12-31,2022-02-14,-0.43,None,None,None
4,2021-09-30,2021-11-19,1.91,None,None,None
5,2021-06-30,2021-07-07,1.5,None,None,None
6,2021-03-31,2021-06-30,1.6395,0,1.6395,None
7,2020-12-31,2021-02-22,0.3,None,None,None
8,2020-09-30,2020-11-16,-0.04,None,None,None
9,2020-06-30,2020-08-14,-0.12,None,None,None
10,2020-03-31,2020-06-29,-0.43,None,None,None
11,2019-12-31,2020-02-14,-0.13,None,None,None
12,2019-09-30,2019-11-14,-0.22,None,None,None
13,2019-06-30,2019-07-01,0.03,None,None,None
14,2019-03-31,2019-06-27,-0.17,None,None,None
15,2018-12-31,2019-02-14,0.09,None,None,None
16,2018-09-30,2018-11-14,0.29,None,None,None
17,2018-06-30,2018-08-14,0.51,None,None,None
18,2018-03-31,2018-06-28,0.26,None,None,None
19,2017-12-31,2018-02-14,0.05,None,None,None
20,2017-09-30,2017-11-13,0.04,None,None,None
21,2017-06-30,2017-08-14,-0.05,None,None,None
22,2017-03-31,2017-06-29,0.05,None,None,None
23,2016-12-31,2017-02-14,-0.055,None,None,None
24,2016-09-30,2016-11-14,-0.0348,None,None,None
25,2016-06-30,2016-08-15,-0.09,None,None,None
26,2016-03-31,2016-06-30,-0.2149,None,None,None
27,2015-12-31,2016-02-12,-0.08,None,None,None
28,2015-09-30,2015-12-31,0.07,None,None,None
29,2015-06-30,2015-09-30,-0.03,None,None,None
30,2015-03-31,2015-06-30,0.0774,None,None,None
31,2014-12-31,2015-03-31,-0.0666,None,None,None
32,2014-09-30,2014-12-31,0.0276,None,None,None
33,2014-06-30,2014-09-30,0.11,None,None,None
34,2014-03-31,2014-06-30,-0.02,None,None,None
35,2013-12-31,2014-03-31,0.0573,None,None,None
36,2013-09-30,2013-11-11,0.07,None,None,None
37,2013-06-30,2013-09-30,0.0041,None,None,None
38,2013-03-31,2013-06-30,0.1189,None,None,None
39,2012-12-31,2013-03-31,0.18,None,None,None
40,2012-09-30,2012-12-31,0.1691,None,None,None
41,2012-06-30,2012-09-30,0.24,None,None,None
42,2012-03-31,2012-06-30,0.3077,None,None,None
43,2011-12-31,2012-03-31,0.3243,None,None,None
44,2011-09-30,2011-12-31,0.26,None,None,None
45,2011-06-30,2011-09-30,0.34,None,None,None
46,2011-03-31,2011-06-30,0.2693,None,None,None
47,2010-12-31,2011-03-31,0.47,None,None,None
48,2010-09-30,2010-12-31,0.25,None,None,None
49,2010-06-30,2010-08-13,0.2111,None,None,None
50,2010-03-31,2010-06-29,0.1562,None,None,None
51,2009-12-31,2010-02-15,-0.0061,None,None,None
52,2009-09-30,2009-11-16,-0.0303,None,None,None
53,2009-06-30,2009-08-14,-0.0239,None,None,None
54,2009-03-31,2009-06-29,-0.0442,None,None,None
55,2008-12-31,2009-02-16,0.6698,None,None,None
56,2008-09-30,2008-11-14,0.8007,None,None,None
57,2008-06-30,2008-08-13,0.5847,None,None,None
58,2007-12-31,2008-02-15,0.0975,None,None,None
59,2007-09-30,2007-11-15,0.1359,None,None,None
60,2007-06-30,2007-08-15,0.229,None,None,None
61,2006-12-31,2007-02-15,0.2038,None,None,None
62,2006-09-30,2006-11-15,0.3353,None,None,None
63,2006-06-30,2006-08-14,0.317,None,None,None
64,2006-03-31,2006-06-29,0.3,None,None,None
65,2005-12-31,2006-02-15,0.2299,None,None,None
66,2005-09-30,2005-11-14,0.2156,None,None,None
67,2005-06-30,2005-08-15,0.1554,None,None,None
68,2004-12-31,2005-02-14,0.1578,None,None,None
69,2004-09-30,2004-11-14,0.2904,None,None,None
70,2004-06-30,2004-08-15,0.2095,None,None,None
71,2003-12-31,2004-02-17,0.0013,None,None,None
72,2003-09-30,2003-11-14,0.0381,None,None,None
73,2003-06-30,2003-08-15,0.0615,None,None,None
74,2002-12-31,2002-12-31,0.0264,None,None,None
75,2002-09-30,2002-09-30,0.0619,None,None,None
76,2002-06-30,2002-06-30,0.0366,None,None,None
77,2001-12-31,2001-12-31,-0.0256,None,None,None
78,2001-09-30,2001-09-30,0.0525,None,None,None
79,2001-06-30,2001-06-30,0.0581,None,None,None
80,2000-12-31,2000-12-31,0.0853,None,None,None
81,2000-09-30,2000-09-30,0.1066,None,None,None
82,2000-06-30,2000-06-30,0.1111,None,None,None
83,1999-12-31,1999-12-31,0.0663,None,None,None
84,1999-09-30,1999-09-30,0.1029,None,None,None
85,1999-06-30,1999-06-30,0.0835,None,None,None
86,1998-12-31,1998-12-31,0.0901,None,None,None
87,1998-09-30,1998-09-30,0.1338,None,None,None
88,1998-06-30,1998-06-30,0.1333,None,None,None
