,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-02-08,1.37,0.28,1.09,389.2857
1,2022-09-30,2022-11-09,1.11,1.25,-0.14,-11.2
2,2022-06-30,2022-07-27,4.24,4.19,0.05,1.1933
3,2022-03-31,2022-05-04,4.27,3.25,1.02,31.3846
4,2021-12-31,2022-02-09,3.92,3.33,0.59,17.7177
5,2021-09-30,2021-11-10,4.16,4.17,-0.01,-0.2398
6,2021-06-30,2021-07-28,3.46,2.48,0.98,39.5161
7,2021-03-31,2021-05-05,1.93,1.57,0.36,22.9299
8,2020-12-31,2021-02-15,0.19,0.08,0.11,137.5
9,2020-09-30,2020-11-04,-0.19,-0.17,-0.02,-11.7647
10,2020-06-30,2020-07-29,-0.3,-0.5,0.2,40
11,2020-03-31,2020-05-06,-0.56,0.05,-0.61,-1220
12,2019-12-31,2020-02-06,-0.22,-0.46,0.24,52.1739
13,2019-09-30,2019-11-07,-0.53,-0.29,-0.24,-82.7586
14,2019-06-30,2019-07-31,0.36,0.51,-0.15,-29.4118
15,2019-03-31,2019-05-08,0.53,0.92,-0.39,-42.3913
16,2018-12-31,2019-02-06,1.67,0.94,0.73,77.6596
17,2018-09-30,2018-11-01,1.1,1.32,-0.22,-16.6667
18,2018-06-30,2018-07-31,2.19,1.49,0.7,46.9799
19,2018-03-31,2018-05-11,1.17,0.99,0.18,18.1818
20,2017-12-31,2018-01-31,1.19,0.8,0.39,48.75
21,2017-09-30,2017-11-10,0.89,0.86,0.03,3.4884
22,2017-06-30,2017-07-27,1.08,1.04,0.04,3.8462
23,2017-03-31,2017-05-12,0.98,0.53,0.45,84.9057
24,2016-12-31,2017-02-10,0.72,0.03,0.69,2300
25,2016-09-30,2016-11-07,0.66,0.81,-0.15,-18.5185
26,2016-06-30,2016-07-28,0.63,0.21,0.42,200
27,2016-03-31,2016-05-05,-0.3,-0.19,-0.11,-57.8947
28,2015-12-31,2016-02-05,-0.48,-0.59,0.11,18.6441
29,2015-09-30,2015-11-06,-0.09,-0.16,0.07,43.75
30,2015-06-30,2015-07-30,0.18,-0.24,0.42,175
31,2015-03-31,2015-05-07,-0.31,-0.06,-0.25,-416.6667
32,2014-12-31,2015-02-13,-1.1406,None,None,None
33,2014-09-30,2014-11-06,0.02,0.08,-0.06,-75
34,2014-06-30,2014-08-01,0.02,0.04,-0.02,-50
35,2014-03-31,2014-05-09,-0.2726,None,None,None
36,2013-12-31,2014-02-07,-1.58,None,None,None
37,2013-09-30,2013-11-07,-0.27,-0.01,-0.26,-2600
38,2013-06-30,2013-08-01,-1.01,0.21,-1.22,-580.9524
39,2013-03-31,2013-05-10,-0.48,-0.1,-0.38,-380
40,2012-12-31,2013-02-06,-5.9,-6.35,0.45,7.0866
41,2012-09-30,2012-10-31,-1.05,0.33,-1.38,-418.1818
42,2012-06-30,2012-07-25,1.28,1.58,-0.3,-18.9873
43,2012-03-31,2012-05-10,0.18,0.49,-0.31,-63.2653
44,2011-12-31,2012-02-07,-1.17,0.22,-1.39,-631.8182
45,2011-09-30,2011-11-03,0.43,1.17,-0.74,-63.2479
46,2011-06-30,2011-07-27,2.13,2.13,0,0
