,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-11-30,2023-01-05,-0.44,-0.45,0.01,2.2222
1,2022-08-31,2022-10-24,0.5,0.46,0.04,8.6957
2,2022-05-31,2022-06-29,2.59,2.3,0.29,12.6087
3,2022-02-28,2022-04-06,1.38,1.38,0,0
4,2021-11-30,2022-01-06,1.58,1.76,-0.18,-10.2273
5,2021-08-31,2021-10-21,1.81,1.71,0.1,5.848
6,2021-05-31,2021-06-30,2.2,2.09,0.11,5.2632
7,2021-02-28,2021-04-07,1.51,0.99,0.52,52.5253
8,2020-11-30,2021-01-07,0.57,0.39,0.18,46.1538
9,2020-08-31,2020-10-22,0.23,0.13,0.1,76.9231
10,2020-05-31,2020-07-01,0.05,-0.12,0.17,141.6667
11,2020-02-29,2020-04-02,0.31,0.23,0.08,34.7826
12,2019-11-30,2020-01-08,-0.17,-0.16,-0.01,-6.25
13,2019-08-31,2019-10-24,0.42,0.42,0,0
14,2019-05-31,2019-06-26,0.63,0.61,0.02,3.2787
15,2019-02-28,2019-04-04,0.48,0.46,0.02,4.3478
16,2018-11-30,2019-01-09,0.58,0.56,0.02,3.5714
17,2018-08-31,2018-10-24,1,0.95,0.05,5.2632
18,2018-05-31,2018-06-26,1.26,1.18,0.08,6.7797
19,2018-02-28,2018-04-05,0.9,0.91,-0.01,-1.0989
20,2017-11-30,2018-01-09,0.63,0.61,0.02,3.2787
21,2017-08-31,2017-10-24,0.63,0.62,0.01,1.6129
22,2017-05-31,2017-06-26,0.56,0.56,0,0
23,2017-02-28,2017-04-06,0.37,0.37,0,0
24,2016-11-30,2017-01-05,-0.03,-0.04,0.01,25
25,2016-08-31,2016-10-25,0.39,0.45,-0.06,-13.3333
26,2016-05-31,2016-06-30,0.46,0.18,0.28,155.5556
27,2016-02-29,2016-04-06,-0.25,-0.25,0,0
28,2015-11-30,2016-01-07,-0.13,-0.15,0.02,13.3333
29,2015-08-31,2015-10-27,0.31,0.3,0.01,3.3333
30,2015-05-31,2015-06-30,-0.356,-0.14,-0.216,-154.2857
31,2015-02-28,2015-04-07,-0.33,-0.06,-0.27,-450
32,2014-11-30,2015-01-08,-0.07,0.1,-0.17,-170
33,2014-08-31,2014-10-28,0.33,0.31,0.02,6.4516
34,2014-05-31,2014-06-26,0.16,0.08,0.08,100
35,2014-02-28,2014-04-03,0.13,0.07,0.06,85.7143
36,2013-11-30,2014-01-08,-0.18,-0.06,-0.12,-200
37,2013-08-31,2013-10-29,-0.51,-0.19,-0.32,-168.4211
38,2013-05-31,2013-06-27,0.09,0.11,-0.02,-18.1818
39,2013-02-28,2013-04-03,0.36,0.24,0.12,50
40,2012-11-30,2013-01-08,-0.02,0.01,-0.03,-300
41,2012-08-31,2012-10-25,0.1,-0.01,0.11,1100
42,2012-05-31,2012-06-28,0.4,0.25,0.15,60
43,2012-02-29,2012-04-05,0.35,0.33,0.02,6.0606
44,2011-11-30,2012-01-09,0.25,0.23,0.02,8.6957
45,2011-08-31,2011-10-20,1.33,1.22,0.11,9.0164
46,2011-05-31,2011-06-30,1.17,1.19,-0.02,-1.6807
47,2011-02-28,2011-04-04,1.03,0.85,0.18,21.1765
48,2010-11-30,2011-01-06,0.64,0.71,-0.07,-9.8592
49,2010-08-31,2010-10-20,0.58,0.4,0.18,45
50,2010-05-31,2010-06-30,1.43,0.87,0.56,64.3678
51,2010-02-28,2010-04-07,0.62,0.48,0.14,29.1667
52,2009-11-30,2010-01-07,0.23,0.14,0.09,64.2857
53,2009-08-31,2009-10-27,0.36,0.31,0.05,16.129
54,2009-05-31,2009-06-30,-0.05,0.16,-0.21,-131.25
55,2009-02-28,2009-04-02,-0.25,0.05,-0.3,-600
56,2008-11-30,2009-01-08,-1.21,-0.75,-0.46,-61.3333
57,2008-08-31,2008-10-28,4.38,2.53,1.85,73.1225
58,2008-05-31,2008-07-01,2.14,1.87,0.27,14.4385
59,2008-02-29,2008-04-03,1.25,1.01,0.24,23.7624
60,2007-11-30,2008-01-07,0.85,1.07,-0.22,-20.5607
61,2007-08-31,2007-10-29,1.28,1.35,-0.07,-5.1852
62,2007-05-31,2007-07-09,1.47,1.07,0.4,37.3832
63,2007-02-28,2007-04-09,0.93,0.62,0.31,50
64,2006-11-30,2007-01-08,0.69,0.99,-0.3,-30.303
65,2006-08-31,2006-11-07,1.62,1.26,0.36,28.5714
66,2006-05-31,2006-07-10,0.98,0.96,0.02,2.0833
67,2006-02-28,2006-04-10,0.68,0.72,-0.04,-5.5556
68,2005-11-30,2006-01-09,1.34,0.85,0.49,57.6471
69,2005-08-31,2005-10-06,1.11,0.85,0.26,30.5882
70,2005-05-31,2005-07-06,1.08,1.05,0.03,2.8571
71,2005-02-28,2005-04-06,1.15,1,0.15,15
72,2004-11-30,2005-01-06,1.38,1.3,0.08,6.1538
73,2004-08-31,2004-10-06,1.22,0.9,0.32,35.5556
74,2004-05-31,2004-07-07,1.37,1.25,0.12,9.6
75,2004-02-29,2004-04-01,0.6,0.47,0.13,27.6596
