,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-03-08,-0.18,0.9,-1.08,-120
1,2022-09-30,2022-10-31,0.1,0.59,-0.49,-83.0508
2,2022-06-30,2022-08-15,0.27,0.61,-0.34,-55.7377
3,2022-03-31,2022-05-04,0.98,2.53,-1.55,-61.2648
4,2021-12-31,2022-03-09,0.68,1.46,-0.78,-53.4247
5,2021-09-30,2021-11-03,1.13,1.7,-0.57,-33.5294
6,2021-06-30,2021-07-27,3.59,5.3,-1.71,-32.2642
7,2021-03-31,2021-04-28,3.8,1.36,2.44,179.4118
8,2020-12-31,2021-02-22,2.67,0.1052,2.5648,2438.0228
9,2020-09-30,2020-10-15,0.78,1.21,-0.43,-35.5372
10,2020-06-30,2020-07-28,0.25,-0.31,0.56,180.6452
11,2020-03-31,2020-05-14,-0.95,-2.84,1.89,66.5493
12,2019-12-31,2020-03-04,0.91,0.62,0.29,46.7742
13,2019-09-30,2019-10-24,-0.72,0.11,-0.83,-754.5455
14,2019-06-30,2019-09-09,1.37,1.14,0.23,20.1754
15,2019-03-31,2019-05-07,0.06,0.43,-0.37,-86.0465
16,2018-12-31,2019-02-20,1.28,0.75,0.53,70.6667
17,2018-09-30,2018-11-07,0.53,0.34,0.19,55.8824
18,2018-06-30,2018-08-07,0.1459,0.08,0.0659,82.375
19,2018-03-31,2018-05-14,0.1665,0.03,0.1365,455
20,2017-12-31,2018-03-26,0.26,0.13,0.13,100
21,2017-09-30,2017-10-30,-0.04,-0.01,-0.03,-300
22,2017-06-30,2017-08-15,0.0066,-0.46,0.4666,101.4348
23,2017-03-31,2017-04-04,-0.01,-0.01,0,0
24,2016-12-31,2017-03-27,-0.0179,0.025,-0.0429,-171.6
25,2016-09-30,2016-11-14,-0.1,0.1,-0.2,-200
26,2016-06-30,2016-08-15,-0.04,-0.1,0.06,60
27,2016-03-31,2016-05-13,-0.6,-0.38,-0.22,-57.8947
28,2015-12-31,2016-03-28,0.4067,-0.33,0.7367,223.2424
29,2015-09-30,2015-11-13,-0.38,-0.73,0.35,47.9452
30,2015-06-30,2015-08-13,-0.45,-0.42,-0.03,-7.1429
31,2015-03-31,2015-05-06,0.28,-0.24,0.52,216.6667
32,2014-12-31,2015-03-12,0.05,-0.4,0.45,112.5
33,2014-09-30,2014-11-13,-0.18,0.07,-0.25,-357.1429
34,2014-06-30,2014-08-04,0.02,0.14,-0.12,-85.7143
35,2014-03-31,2014-05-07,0.04,0.17,-0.13,-76.4706
36,2013-12-31,2014-02-28,-0.33,0.22,-0.55,-250
37,2013-09-30,2013-11-14,0.34,0.1,0.24,240
38,2013-06-30,2013-08-06,0.34,0.02,0.32,1600
39,2013-03-31,2013-04-22,0.17,0.1,0.07,70
40,2012-12-31,2013-03-28,0.23,0.12,0.11,91.6667
41,2012-09-30,2012-10-31,0.12,0.07,0.05,71.4286
42,2012-06-30,2012-08-14,0.38,0.08,0.3,375
43,2012-03-31,2012-05-10,0.08,0.42,-0.34,-80.9524
44,2011-12-31,2012-03-26,0.57,0.32,0.25,78.125
45,2011-09-30,2011-10-27,0.77,0.2,0.57,285
46,2011-06-30,2011-08-12,0.77,0.72,0.05,6.9444
47,2011-03-31,2011-05-04,0.42,0.53,-0.11,-20.7547
48,2010-09-30,2010-10-28,0.49,0.71,-0.22,-30.9859
49,2010-06-30,2010-08-10,0.61,0.59,0.02,3.3898
50,2010-03-31,2010-05-06,0.18,0.17,0.01,5.8824
51,2009-12-31,2010-02-26,0.28,0.21,0.07,33.3333
52,2009-09-30,2009-11-04,0.42,0.32,0.1,31.25
53,2009-06-30,2009-08-06,0.1,0.28,-0.18,-64.2857
54,2009-03-31,2009-05-14,0.11,0.13,-0.02,-15.3846
55,2008-12-31,2009-03-06,1.37,1.09,0.28,25.6881
56,2008-09-30,2008-11-14,0.02,0.04,-0.02,-50
57,2008-06-30,2008-08-14,0.39,0.45,-0.06,-13.3333
58,2008-03-31,2008-05-07,0.29,0.3,-0.01,-3.3333
59,2007-12-31,2008-03-10,0.19,0.2,-0.01,-5
60,2007-09-30,2007-11-14,0.25,0.25,0,0
61,2007-06-30,2007-08-14,0.31,0.15,0.16,106.6667
62,2006-12-31,2007-03-30,0.13,0.11,0.02,18.1818
63,2006-09-30,2006-11-08,0.1,0.14,-0.04,-28.5714
64,2006-03-31,2006-05-10,0.1,0.07,0.03,42.8571
65,2005-12-31,2006-03-27,0.1,0.07,0.03,42.8571
66,2005-06-30,2005-08-10,0.11,0.23,-0.12,-52.1739
67,2005-03-31,2005-04-27,0.16,0.17,-0.01,-5.8824
68,2004-12-31,2005-03-01,0.12,0.23,-0.11,-47.8261
69,2004-09-30,2004-11-12,0.14,0.2,-0.06,-30
70,2004-06-30,2004-08-02,0.08,0.12,-0.04,-33.3333
71,2004-03-31,2004-05-07,0.07,0.07,0,0
72,2003-12-31,2004-03-10,0.07,0.05,0.02,40
73,2003-09-30,2003-11-13,0.04,0.04,0,0
74,2003-06-30,2003-08-14,0.03,0.04,-0.01,-25
75,2003-03-31,2003-05-07,0.07,0.04,0.03,75
76,2002-12-31,2003-03-26,0.06,0.06,0,0
77,2002-09-30,2002-11-13,-0.03,-0.02,-0.01,-50
78,2002-06-30,2002-08-16,-0.05,-0.08,0.03,37.5
79,2002-03-31,2002-05-15,-0.05,0.01,-0.06,-600
80,2001-12-31,2002-03-26,-0.03,0.03,-0.06,-200
81,2001-09-30,2001-11-14,0.14,-0.02,0.16,800
82,2001-06-30,2001-08-10,0,0.01,-0.01,-100
83,2001-03-31,2001-04-17,-0.05,0.08,-0.13,-162.5
84,2000-03-31,2000-04-27,0.09,0.03,0.06,200
85,1999-06-30,1999-08-26,0.02,-0.01,0.03,300
86,1998-12-31,1999-03-10,0.05,0.02,0.03,150
87,1998-06-30,1998-08-31,0.06,0.05,0.01,20
88,1998-03-31,1998-06-03,0.06,0.04,0.02,50
89,1997-12-31,1998-03-20,0.09,0.06,0.03,50
90,1997-09-30,1997-11-18,0.06,0.03,0.03,100
91,1997-03-31,1997-05-20,0.04,0.01,0.03,300
92,1996-09-30,1996-11-04,0.04,0.02,0.02,100
