,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-02-23,-0.1,-0.09,-0.01,-11.1111
1,2022-09-30,2022-11-03,-0.09,0.25,-0.34,-136
2,2022-06-30,2022-08-04,1.27,1.33,-0.06,-4.5113
3,2022-03-31,2022-05-04,0.92,0.81,0.11,13.5802
4,2021-12-31,2022-02-24,0.8,0.6,0.2,33.3333
5,2021-09-30,2021-11-04,1.04,0.66,0.38,57.5758
6,2021-06-30,2021-08-05,0.96,0.62,0.34,54.8387
7,2021-03-31,2021-05-06,0.43,0.36,0.07,19.4444
8,2020-12-31,2021-02-25,0.01,-0.19,0.2,105.2632
9,2020-09-30,2020-10-29,-0.38,-0.24,-0.14,-58.3333
10,2020-06-30,2020-08-06,-0.31,-0.8,0.49,61.25
11,2020-03-31,2020-05-07,-0.25,-0.23,-0.02,-8.6957
12,2019-12-31,2020-02-20,-0.87,-0.52,-0.35,-67.3077
13,2019-09-30,2019-11-06,-0.1,-0.45,0.35,77.7778
14,2019-06-30,2019-08-01,0.12,-0.3,0.42,140
15,2019-03-31,2019-05-02,0.09,0.04,0.05,125
16,2018-12-31,2019-02-20,0.15,-0.06,0.21,350
17,2018-09-30,2018-10-25,0.03,-0.06,0.09,150
18,2018-06-30,2018-07-26,0.19,0.28,-0.09,-32.1429
19,2018-03-31,2018-04-26,-0.04,0.08,-0.12,-150
20,2017-12-31,2018-01-25,-0.77,-0.34,-0.43,-126.4706
21,2017-09-30,2017-10-26,-0.13,-0.07,-0.06,-85.7143
22,2017-06-30,2017-07-31,0.03,0.02,0.01,50
23,2017-03-31,2017-04-27,-0.12,-0.1,-0.02,-20
24,2016-12-31,2017-02-16,-1.52,-0.4,-1.12,-280
25,2016-09-30,2016-10-27,-0.38,-0.35,-0.03,-8.5714
26,2016-06-30,2016-07-27,-0.24,-0.25,0.01,4
27,2016-03-31,2016-04-28,-0.31,-0.41,0.1,24.3902
28,2015-12-31,2016-01-28,-0.58,-0.68,0.1,14.7059
29,2015-09-30,2015-10-29,-0.69,-0.78,0.09,11.5385
30,2015-06-30,2015-07-30,-0.54,-0.37,-0.17,-45.9459
31,2015-03-31,2015-04-30,0.15,0.04,0.11,275
32,2014-12-31,2015-01-29,0.37,0.4,-0.03,-7.5
33,2014-09-30,2014-10-30,0.59,0.53,0.06,11.3208
34,2014-06-30,2014-07-31,0.55,0.65,-0.1,-15.3846
