,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-02-14,0.2,0.29,-0.09,-31.0345
1,2022-09-30,2022-11-02,0.78,1.86,-1.08,-58.0645
2,2022-06-30,2022-08-02,4.07,3.59,0.48,13.3705
3,2022-03-31,2022-04-26,3.95,3.29,0.66,20.0608
4,2021-12-31,2022-02-15,5.08,4.99,0.09,1.8036
5,2021-09-30,2021-11-02,6.12,5.39,0.73,13.5436
6,2021-06-30,2021-08-03,5.21,3.4,1.81,53.2353
7,2021-03-31,2021-04-27,3.07,2.46,0.61,24.7967
8,2020-12-31,2021-02-23,2.11,1.02,1.09,106.8627
9,2020-09-30,2020-11-03,0.74,0.26,0.48,184.6154
10,2020-06-30,2020-08-04,0.22,0.03,0.19,633.3333
11,2020-03-31,2020-04-28,-0.06,0.39,-0.45,-115.3846
12,2019-12-31,2020-02-18,0.36,0.4,-0.04,-10
13,2019-09-30,2019-10-29,0.48,0.47,0.01,2.1277
14,2019-06-30,2019-07-30,0.92,0.9,0.02,2.2222
15,2019-03-31,2019-05-01,1.11,1.1,0.01,0.9091
16,2018-12-31,2019-02-19,1.79,1.55,0.24,15.4839
17,2018-09-30,2018-10-30,2.49,1.53,0.96,62.7451
18,2018-06-30,2018-08-01,1.7,1.68,0.02,1.1905
19,2018-03-31,2018-04-25,1.87,1.17,0.7,59.8291
20,2017-12-31,2018-02-20,0.92,0.64,0.28,43.75
21,2017-09-30,2017-10-31,0.99,0.97,0.02,2.0619
22,2017-06-30,2017-08-01,1.27,0.94,0.33,35.1064
23,2017-03-31,2017-04-25,1.33,0.9,0.43,47.7778
24,2016-12-31,2017-02-21,0.6,0.7,-0.1,-14.2857
25,2016-09-30,2016-11-03,1.17,0.89,0.28,31.4607
26,2016-06-30,2016-08-02,0.78,0.62,0.16,25.8065
27,2016-03-31,2016-04-26,0.48,0.41,0.07,17.0732
28,2015-12-31,2016-02-23,0.27,0.43,-0.16,-37.2093
29,2015-09-30,2015-11-03,0.39,0.14,0.25,178.5714
30,2015-06-30,2015-08-04,0.22,0.34,-0.12,-35.2941
31,2015-03-31,2015-04-29,0.46,0.49,-0.03,-6.1224
32,2014-12-31,2015-02-19,0.31,0.56,-0.25,-44.6429
33,2014-09-30,2014-11-04,0.57,0.72,-0.15,-20.8333
34,2014-06-30,2014-07-29,0.66,0.81,-0.15,-18.5185
35,2014-03-31,2014-04-30,0.76,0.77,-0.01,-1.2987
36,2013-12-31,2014-02-19,0.64,0.63,0.01,1.5873
37,2013-09-30,2013-11-05,0.5,0.48,0.02,4.1667
38,2013-06-30,2013-07-31,0.52,0.68,-0.16,-23.5294
39,2013-03-31,2013-04-30,0.66,0.52,0.14,26.9231
40,2012-12-31,2013-02-20,0.33,0.35,-0.02,-5.7143
41,2012-09-30,2012-11-06,0.62,0.58,0.04,6.8966
42,2012-06-30,2012-07-31,0.56,0.63,-0.07,-11.1111
43,2012-03-31,2012-04-25,0.81,0.88,-0.07,-7.9545
44,2011-12-31,2012-02-22,0.53,0.56,-0.03,-5.3571
45,2011-09-30,2011-11-02,0.03,0.49,-0.46,-93.8776
46,2011-06-30,2011-08-03,1.01,1.03,-0.02,-1.9417
47,2011-03-31,2011-05-04,1.03,0.82,0.21,25.6098
48,2010-12-31,2011-02-22,0.39,0.54,-0.15,-27.7778
49,2010-09-30,2010-11-03,0.76,0.77,-0.01,-1.2987
50,2010-06-30,2010-08-03,0.94,0.96,-0.02,-2.0833
51,2010-03-31,2010-05-04,1.02,0.7,0.32,45.7143
52,2009-12-31,2010-02-24,0.79,0.54,0.25,46.2963
53,2009-09-30,2009-11-04,0.44,0.2,0.24,120
54,2009-06-30,2009-08-04,2.81,2.65,0.16,6.0377
55,2009-03-31,2009-05-04,-0.46,-0.05,-0.41,-820
56,2008-12-31,2009-02-24,-1.67,-2.02,0.35,17.3267
57,2008-09-30,2008-11-05,1.06,1.51,-0.45,-29.8013
58,2008-06-30,2008-08-05,2.07,1.22,0.85,69.6721
59,2008-03-31,2008-05-05,2.11,1,1.11,111
60,2007-12-31,2008-02-26,0.83,0.85,-0.02,-2.3529
61,2007-09-30,2007-11-06,0.8,1.03,-0.23,-22.3301
62,2007-06-30,2007-08-02,1.18,0.98,0.2,20.4082
63,2007-03-31,2007-05-03,1.11,0.94,0.17,18.0851
64,2006-12-31,2007-02-27,0.7,0.86,-0.16,-18.6047
65,2006-06-30,2006-08-01,1.16,0.88,0.28,31.8182
66,2006-03-31,2006-04-28,0.82,0.79,0.03,3.7975
