,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-02-02,-0.2,None,None,None
1,2022-06-30,2022-09-28,0,0,0,None
2,2021-12-31,2022-01-28,-0.13,0,-0.13,None
3,2021-06-30,2021-08-26,-0.03,0,-0.03,None
4,2020-12-31,2021-02-09,-0.06,0,-0.06,None
5,2020-09-30,2020-12-31,-0.0151,0,-0.0151,None
6,2020-06-30,2020-09-04,0.01,0,0.01,None
7,2020-03-31,2020-06-30,-0.03,0,-0.03,None
8,2019-12-31,2020-01-31,0.26,0,0.26,None
9,2019-09-30,2019-12-31,0.0027,0,0.0027,None
10,2019-06-30,2019-09-17,0.23,0,0.23,None
11,2019-03-31,2019-06-30,0.1287,0,0.1287,None
12,2018-12-31,2019-01-31,0.25,0,0.25,None
13,2018-09-30,2018-12-31,0.115,0,0.115,None
14,2018-06-30,2018-09-18,0.29,0,0.29,None
15,2018-03-31,2018-06-30,0.1173,0,0.1173,None
16,2017-12-31,2018-03-31,0.1384,0,0.1384,None
17,2017-09-30,2017-12-31,0.1384,0,0.1384,None
18,2017-06-30,2017-09-30,0.1257,0,0.1257,None
19,2017-03-31,2017-06-30,0.1257,0,0.1257,None
20,2016-12-31,2017-03-31,0.1432,0,0.1432,None
21,2016-09-30,2016-12-31,0.1432,0,0.1432,None
