,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-03-01,0.1451,1.31,-1.1649,-88.9237
1,2022-09-30,2022-11-09,1.91,1.79,0.12,6.7039
2,2022-06-30,2022-08-03,2.38,2.19,0.19,8.6758
3,2022-03-31,2022-05-05,1.63,2.11,-0.48,-22.7488
4,2021-12-31,2022-02-23,1.94,1.98,-0.04,-2.0202
5,2021-09-30,2021-10-04,1.87,2.16,-0.29,-13.4259
6,2021-06-30,2021-08-04,0.4119,0.4253,-0.0134,-3.1507
7,2021-03-31,2021-05-05,1.36,0.77,0.59,76.6234
8,2020-12-31,2021-02-24,0.71,0.91,-0.2,-21.978
9,2020-09-30,2020-10-28,0.46,0.26,0.2,76.9231
10,2020-06-30,2020-08-05,0.11,-0.2,0.31,155
11,2020-03-31,2020-05-06,0.13,-0.83,0.96,115.6627
12,2019-12-31,2020-02-28,0.05,0.22,-0.17,-77.2727
13,2019-09-30,2019-10-31,0.17,0.2,-0.03,-15
14,2019-06-30,2019-08-08,0.22,0.36,-0.14,-38.8889
15,2019-03-31,2019-05-08,0.26,0.32,-0.06,-18.75
16,2018-12-31,2019-02-21,0.054,0.11,-0.056,-50.9091
17,2018-09-30,2018-11-07,0.1223,0.13,-0.0077,-5.9231
18,2018-06-30,2018-08-08,0.109,0.04,0.069,172.5
19,2018-03-31,2018-05-09,0.0684,0.07,-0.0016,-2.2857
20,2017-12-31,2018-02-28,-0.15,-0.07,-0.08,-114.2857
21,2017-09-30,2017-11-08,0.08,0.16,-0.08,-50
22,2017-06-30,2017-08-09,0.04,0.01,0.03,300
23,2017-03-31,2017-05-04,0.48,-0.09,0.57,633.3333
24,2016-12-31,2017-02-23,-0.12,-0.18,0.06,33.3333
25,2016-09-30,2016-11-14,0.05,0.01,0.04,400
26,2016-06-30,2016-08-10,0.16,0.15,0.01,6.6667
27,2016-03-31,2016-05-04,0.01,0.03,-0.02,-66.6667
28,2015-12-31,2016-03-15,-0.02,-0.04,0.02,50
29,2015-09-30,2015-10-29,0.11,-0.04,0.15,375
30,2015-06-30,2015-08-12,0.15,-0.05,0.2,400
31,2015-03-31,2015-05-06,0.17,0.06,0.11,183.3333
32,2014-12-31,2015-03-04,0.23,0.15,0.08,53.3333
33,2014-09-30,2014-11-05,0.15,0.22,-0.07,-31.8182
34,2014-06-30,2014-07-30,0.21,0.22,-0.01,-4.5455
35,2014-03-31,2014-05-07,0.23,0.19,0.04,21.0526
36,2013-12-31,2014-02-21,0.26,0.26,0,0
37,2013-09-30,2013-10-31,0.35,0.27,0.08,29.6296
38,2013-06-30,2013-08-01,0.23,0.17,0.06,35.2941
39,2013-03-31,2013-05-07,0.09,0.19,-0.1,-52.6316
40,2012-12-31,2013-02-21,0.08,0.12,-0.04,-33.3333
41,2012-09-30,2012-11-01,0.23,0.22,0.01,4.5455
42,2012-06-30,2012-08-02,0.32,0.1,0.22,220
43,2012-03-31,2012-05-03,0.22,0.23,-0.01,-4.3478
44,2011-12-31,2012-02-16,0.27,0.15,0.12,80
45,2011-09-30,2011-11-16,0.41,0.12,0.29,241.6667
46,2011-06-30,2011-08-30,0.28,0.32,-0.04,-12.5
47,2011-03-31,2011-05-05,0.26,0.2,0.06,30
48,2010-12-31,2011-03-03,0.29,0.18,0.11,61.1111
49,2010-09-30,2010-11-05,0.38,0.36,0.02,5.5556
50,2010-06-30,2010-08-05,0.52,0.44,0.08,18.1818
51,2010-03-31,2010-05-06,0.35,0.25,0.1,40
52,2009-12-31,2010-02-25,0.53,0.3,0.23,76.6667
53,2009-09-30,2009-11-05,0.39,0.42,-0.03,-7.1429
54,2009-06-30,2009-08-06,-0.09,0.27,-0.36,-133.3333
55,2009-03-31,2009-05-07,0.03,None,None,None
56,2008-12-31,2009-02-19,0.07,0.07,0,0
57,2008-09-30,2008-12-02,0.41,0.3,0.11,36.6667
58,2008-06-30,2008-08-06,0.64,0.77,-0.13,-16.8831
59,2008-03-31,2008-05-12,0.38,0.44,-0.06,-13.6364
60,2007-12-31,2008-02-13,0.36,0.39,-0.03,-7.6923
61,2007-09-30,2007-11-07,0.32,0.3,0.02,6.6667
62,2007-03-31,2007-05-03,0.25,0.26,-0.01,-3.8462
63,2006-09-30,2006-11-07,0.25,0.24,0.01,4.1667
64,2006-06-30,2006-08-02,0.31,0.26,0.05,19.2308
65,2005-12-31,2006-02-08,0.11,0.18,-0.07,-38.8889
66,2005-09-30,2005-11-08,0.22,0.22,0,0
67,2005-06-30,2005-08-03,0.24,0.26,-0.02,-7.6923
68,2004-12-31,2005-02-02,0.22,0.27,-0.05,-18.5185
69,2004-09-30,2004-11-03,0.27,0.28,-0.01,-3.5714
70,2004-06-30,2004-08-11,0.21,0.08,0.13,162.5
71,2004-03-31,2004-04-28,0.11,0.16,-0.05,-31.25
72,2003-12-31,2004-01-28,0.12,0.09,0.03,33.3333
73,2003-09-30,2003-10-29,0.06,0.09,-0.03,-33.3333
74,2003-06-30,2003-07-29,0.07,0.06,0.01,16.6667
75,2002-12-31,2003-01-29,0.06,0.08,-0.02,-25
76,2002-09-30,2002-10-17,0.08,0.08,0,0
77,2002-06-30,2002-07-18,0.05,0.07,-0.02,-28.5714
78,2002-03-31,2002-04-16,0.04,0.04,0,0
79,2001-12-31,2002-01-30,0.05,0.05,0,0
80,2001-09-30,2001-10-17,0.04,0.04,0,0
81,2001-06-30,2001-07-11,0.07,0.04,0.03,75
82,1999-06-30,1999-08-06,0.02,0.03,-0.01,-33.3333
83,1998-09-30,1998-12-16,0.03,0.03,0,0
