,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-02-15,0.15,0,0.15,None
1,2022-06-30,2022-09-29,0,0,0,None
2,2021-12-31,2022-02-02,0.14,0,0.14,None
3,2021-06-30,2021-08-26,0.06,0,0.06,None
4,2020-12-31,2021-03-30,0.33,0,0.33,None
5,2020-09-30,2020-12-31,0.0288,0,0.0288,None
6,2020-06-30,2020-09-18,0.13,0,0.13,None
7,2020-03-31,2020-06-30,0.0334,0,0.0334,None
8,2019-12-31,2020-03-31,0.13,0,0.13,None
9,2019-09-30,2019-12-31,0.13,0,0.13,None
10,2019-06-30,2019-09-30,0.1687,0,0.1687,None
11,2019-03-31,2019-06-30,0.1687,0,0.1687,None
12,2018-12-31,2019-03-31,0.1,0,0.1,None
13,2018-09-30,2018-12-31,0.1,0,0.1,None
14,2018-06-30,2018-09-30,0.1599,0,0.1599,None
15,2018-03-31,2018-06-30,0.1599,0,0.1599,None
16,2017-12-31,2018-03-31,0.0999,0,0.0999,None
17,2017-09-30,2017-12-31,0.0999,0,0.0999,None
