,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-10-31,2022-12-13,-0.0315,None,None,None
1,2022-07-31,2022-09-13,-0.37,None,None,None
2,2022-04-30,2022-06-13,1.06,None,None,None
3,2022-01-31,2022-04-27,1.06,None,None,None
4,2021-10-31,2021-12-15,1.22,None,None,None
5,2021-07-31,2021-09-13,1.06,None,None,None
6,2021-04-30,2021-06-11,1.06,None,None,None
7,2021-01-31,2021-04-27,1.06,None,None,None
8,2020-10-31,2020-12-09,1.06,None,None,None
9,2020-07-31,2020-09-08,1.06,None,None,None
10,2020-04-30,2020-06-08,1.06,None,None,None
11,2020-01-31,2020-04-13,0.387,None,None,None
12,2019-10-31,2019-12-10,1.06,None,None,None
13,2019-07-31,2019-09-06,0.37,None,None,None
14,2019-04-30,2019-06-07,0.37,None,None,None
15,2019-01-31,2019-04-12,0.52,None,None,None
16,2018-10-31,2018-12-07,1.44,None,None,None
17,2018-07-31,2018-09-07,1.44,None,None,None
18,2018-04-30,2018-06-08,0.4814,None,None,None
19,2018-01-31,2018-04-13,0.39,None,None,None
20,2017-10-31,2017-12-08,0.91,None,None,None
21,2017-07-31,2017-09-07,1,None,None,None
22,2017-04-30,2017-06-08,0.34,None,None,None
23,2017-01-31,2017-04-14,0.3408,None,None,None
24,2016-10-31,2016-12-08,0.3365,None,None,None
25,2016-07-31,2016-09-08,0.2445,None,None,None
26,2016-04-30,2016-06-06,0.1845,None,None,None
27,2016-01-31,2016-04-14,-0.0328,None,None,None
28,2015-10-31,2015-12-08,0.2083,None,None,None
29,2015-07-31,2015-09-04,0.1831,None,None,None
30,2015-04-30,2015-06-05,0.1893,None,None,None
31,2015-01-31,2015-04-15,0.0717,None,None,None
32,2014-10-31,2014-12-05,0.4325,None,None,None
33,2014-07-31,2014-10-31,0.8795,None,None,None
34,2014-04-30,2014-07-31,0.5653,None,None,None
35,2014-01-31,2014-04-30,0.0105,None,None,None
36,2013-10-31,2014-01-31,0.3882,None,None,None
37,2013-07-31,2013-10-31,0.4677,None,None,None
38,2013-04-30,2013-07-31,0.5812,None,None,None
39,2013-01-31,2013-04-10,0.36,0.42,-0.06,-14.2857
40,2012-10-31,2012-12-06,0.89,0.77,0.12,15.5844
41,2012-07-31,2012-09-05,0.83,0.88,-0.05,-5.6818
42,2012-04-30,2012-06-05,0.26,0.3,-0.04,-13.3333
43,2012-01-31,2012-04-13,0.48,0.66,-0.18,-27.2727
44,2011-10-31,2011-12-08,1.05,1.04,0.01,0.9615
45,2011-07-31,2011-09-08,0.77,0.6,0.17,28.3333
46,2011-04-30,2011-06-03,0.23,0.33,-0.1,-30.303
47,2011-01-31,2011-04-11,0.4,0.67,-0.27,-40.2985
48,2010-10-31,2010-12-03,0.87,0.8,0.07,8.75
49,2010-07-31,2010-09-03,0.84,0.68,0.16,23.5294
50,2010-04-30,2010-06-07,0.36,0.01,0.35,3500
51,2010-01-31,2010-04-15,0.5,0.43,0.07,16.2791
52,2009-10-31,2009-12-04,0.37,0.25,0.12,48
53,2009-07-31,2009-09-30,0.0168,None,None,None
54,2009-04-30,2009-07-01,0.0611,None,None,None
55,2009-01-31,2009-01-31,0.2136,None,None,None
56,2008-10-31,2008-10-31,0.8885,None,None,None
57,2008-07-31,2008-07-31,1.263,None,None,None
58,2008-04-30,2008-04-30,0.2774,None,None,None
59,2008-01-31,2008-01-31,0.4394,None,None,None
60,2007-10-31,2007-10-31,0.5025,None,None,None
61,2007-07-31,2007-07-31,0.3182,None,None,None
62,2007-04-30,2007-04-30,0.1295,None,None,None
63,2007-01-31,2007-01-31,0.1858,None,None,None
64,2006-10-31,2006-10-31,0.537,None,None,None
65,2006-07-31,2006-07-31,0.4717,None,None,None
66,2006-04-30,2006-04-30,0.1123,None,None,None
67,2006-01-31,2006-01-31,0.5898,None,None,None
68,2005-10-31,2005-10-31,0.4157,None,None,None
69,2005-07-31,2005-07-31,0.4122,None,None,None
70,2005-04-30,2005-04-30,0.1627,None,None,None
71,2005-01-31,2005-01-31,0.4955,None,None,None
72,2004-10-31,2004-10-31,0.2421,None,None,None
73,2004-07-31,2004-07-31,0.1909,None,None,None
74,2004-04-30,2004-04-30,0.0637,None,None,None
75,2004-01-31,2004-01-31,0.25,None,None,None
76,2003-10-31,2003-10-31,0.1741,None,None,None
77,2003-07-31,2003-07-31,0.0736,None,None,None
78,2003-04-30,2003-04-30,0.0191,None,None,None
79,2002-10-31,2002-10-31,0.1424,None,None,None
80,2002-07-31,2002-07-31,0.0478,None,None,None
81,2002-04-30,2002-04-30,0.0149,None,None,None
82,2002-01-31,2002-01-31,0.0509,None,None,None
83,2001-10-31,2001-10-31,0.12,None,None,None
84,2001-07-31,2001-07-31,0.0747,None,None,None
85,2001-04-30,2001-04-30,0.0322,None,None,None
86,2000-10-31,2000-10-31,0.1903,None,None,None
87,2000-07-31,2000-07-31,0.1117,None,None,None
88,2000-04-30,2000-04-30,0.0268,None,None,None
89,1999-10-31,1999-10-31,0.1244,None,None,None
90,1999-07-31,1999-07-31,0.0773,None,None,None
91,1999-04-30,1999-04-30,0.0282,None,None,None
92,1998-10-31,1998-10-31,0.1934,None,None,None
93,1998-07-31,1998-07-31,0.1055,None,None,None
94,1998-04-30,1998-04-30,0.0328,None,None,None
