,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-01-26,4.89,4.19,0.7,16.7064
1,2022-09-30,2022-10-20,6.5,6.73,-0.23,-3.4175
2,2022-06-30,2022-07-21,9.67,8.86,0.81,9.1422
3,2022-03-31,2022-04-21,7.67,7.29,0.38,5.2126
4,2021-12-31,2022-01-27,7.97,7.91,0.06,0.7585
5,2021-09-30,2021-10-21,7.28,7.29,-0.01,-0.1372
6,2021-06-30,2021-07-22,5.15,4.79,0.36,7.5157
7,2021-03-31,2021-04-22,3.12,3.09,0.03,0.9709
8,2020-12-31,2021-01-28,1.29,1.18,0.11,9.322
9,2020-09-30,2020-10-22,0.65,0.51,0.14,27.451
10,2020-06-30,2020-07-23,0.37,0.14,0.23,164.2857
11,2020-03-31,2020-04-28,0.99,0.95,0.04,4.2105
12,2019-12-31,2020-01-28,0.52,0.31,0.21,67.7419
13,2019-09-30,2019-10-22,0.9,0.8,0.1,12.5
14,2019-06-30,2019-07-18,1.26,1.29,-0.03,-2.3256
15,2019-03-31,2019-04-23,1.55,1.5,0.05,3.3333
16,2018-12-31,2019-01-29,2.07,1.94,0.13,6.701
17,2018-09-30,2018-10-18,2.33,2.35,-0.02,-0.8511
18,2018-06-30,2018-07-19,2.07,2.09,-0.02,-0.9569
19,2018-03-31,2018-04-19,1.17,1.1,0.07,6.3636
20,2017-12-31,2018-01-30,0.65,0.55,0.1,18.1818
21,2017-09-30,2017-10-19,0.79,0.78,0.01,1.2821
22,2017-06-30,2017-07-20,1,1.06,-0.06,-5.6604
23,2017-03-31,2017-04-20,1.13,1.13,0,0
24,2016-12-31,2017-01-31,0.43,0.34,0.09,26.4706
25,2016-09-30,2016-10-20,0.88,0.9,-0.02,-2.2222
26,2016-06-30,2016-07-21,0.73,0.7,0.03,4.2857
27,2016-03-31,2016-04-21,0.22,0.27,-0.05,-18.5185
28,2015-12-31,2016-01-28,0.46,0.23,0.23,100
29,2015-09-30,2015-10-22,0.71,0.49,0.22,44.898
30,2015-06-30,2015-07-23,0.39,0.26,0.13,50
31,2015-03-31,2015-04-23,0.21,0.15,0.06,40
32,2014-12-31,2015-01-27,0.65,0.55,0.1,18.1818
33,2014-09-30,2014-10-23,0.76,0.74,0.02,2.7027
34,2014-06-30,2014-07-24,0.46,0.4,0.06,15
35,2014-03-31,2014-04-24,0.41,0.36,0.05,13.8889
36,2013-12-31,2014-01-28,0.46,0.4,0.06,15
37,2013-09-30,2013-10-17,0.49,0.39,0.1,25.641
38,2013-06-30,2013-07-18,0.27,0.3,-0.03,-10
39,2013-03-31,2013-04-18,0.26,0.24,0.02,8.3333
40,2012-12-31,2013-01-29,0.45,0.31,0.14,45.1613
41,2012-09-30,2012-10-18,0.45,0.43,0.02,4.6512
42,2012-06-30,2012-07-19,0.46,0.48,-0.02,-4.1667
43,2012-03-31,2012-04-19,0.42,0.39,0.03,7.6923
