,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-02-13,0.7602,0.7602,0,0
1,2022-09-30,2022-11-02,0.6321,0.6317,0.0004,0.0633
2,2022-06-30,2022-08-02,1.06,0.8551,0.2049,23.9621
3,2022-03-31,2022-05-06,0.7359,0.7344,0.0015,0.2042
4,2021-12-31,2022-03-01,0.5859,0.5815,0.0044,0.7567
5,2021-09-30,2021-10-29,0.9362,0.9108,0.0254,2.7888
6,2021-06-30,2021-07-21,0.6941,0.6366,0.0575,9.0324
7,2021-03-31,2021-04-19,0.8018,0.5853,0.2165,36.9896
8,2020-12-31,2021-02-09,0.2116,0.2256,-0.014,-6.2057
9,2020-09-30,2020-10-23,0.2867,0.2471,0.0396,16.0259
10,2020-06-30,2020-07-27,0.1497,0.07,0.0797,113.8571
11,2020-03-31,2020-04-30,0.5187,0.28,0.2387,85.25
12,2019-12-31,2020-02-25,-0.7134,-0.8,0.0866,10.825
13,2019-09-30,2019-10-28,4.92,4.77,0.15,3.1447
14,2019-06-30,2019-07-24,2.28,4.15,-1.87,-45.0602
15,2019-03-31,2019-04-30,2.55,2.72,-0.17,-6.25
16,2018-12-31,2019-02-26,3.58,5.46,-1.88,-34.4322
17,2018-09-30,2018-10-25,8.37,5.22,3.15,60.3448
18,2018-06-30,2018-07-23,4.11,6.08,-1.97,-32.4013
19,2018-03-31,2018-04-27,5.88,4.96,0.92,18.5484
20,2017-12-31,2018-02-26,-6.64,2.75,-9.39,-341.4545
21,2017-09-30,2017-10-23,2.49,2.41,0.08,3.3195
22,2017-06-30,2017-07-20,3.69,3.5,0.19,5.4286
23,2017-03-31,2017-04-27,4.11,1.58,2.53,160.1266
24,2016-12-31,2017-02-23,3.57,2.86,0.71,24.8252
25,2016-09-30,2016-10-18,5.1,2.39,2.71,113.3891
26,2016-06-30,2016-07-21,10.95,2.32,8.63,371.9828
27,2016-03-31,2016-04-25,6.36,1.36,5,367.6471
28,2015-12-31,2016-02-28,2.04,1.77,0.27,15.2542
29,2015-09-30,2015-10-29,-1.8,2.35,-4.15,-176.5957
30,2015-06-30,2015-07-23,2.49,1.84,0.65,35.3261
31,2015-03-31,2015-04-30,0.89,1.55,-0.66,-42.5806
32,2014-12-31,2015-02-27,2.07,3.14,-1.07,-34.0764
33,2014-09-30,2014-10-28,2.79,2.33,0.46,19.7425
34,2014-06-30,2014-07-24,2.4,1.05,1.35,128.5714
35,2014-03-31,2014-04-29,1.97,0.63,1.34,212.6984
36,2013-12-31,2014-02-28,2.92,-0.23,3.15,1369.5652
37,2013-09-30,2013-10-25,3.07,3,0.07,2.3333
38,2013-06-30,2013-07-25,3.32,2.73,0.59,21.6117
39,2013-03-31,2013-05-27,1.83,1.84,-0.01,-0.5435
40,2012-12-31,2013-02-27,-0.1314,0.88,-1.0114,-114.9318
41,2012-09-30,2012-10-26,1.16,1.63,-0.47,-28.8344
42,2012-06-30,2012-07-26,2.11,1.32,0.79,59.8485
43,2012-03-31,2012-05-03,1.47,1.12,0.35,31.25
44,2011-12-31,2012-02-14,2.24,0.73,1.51,206.8493
45,2011-09-30,2011-10-24,1.38,1.26,0.12,9.5238
46,2011-06-30,2011-07-27,1.81,1.14,0.67,58.7719
47,2011-03-31,2011-05-02,2.6,1.39,1.21,87.0504
48,2010-12-31,2011-02-14,0.6,0.4,0.2,50
49,2010-09-30,2010-10-28,0.04,0.69,-0.65,-94.2029
50,2010-06-30,2010-07-28,3.03,1.67,1.36,81.4371
51,2010-03-31,2010-04-28,3.48,1.84,1.64,89.1304
52,2009-12-31,2010-02-26,7.65,2.57,5.08,197.6654
53,2008-09-30,2008-10-28,0.37,0.4,-0.03,-7.5
54,2008-06-30,2008-07-21,0.39,0.26,0.13,50
55,2007-12-31,2008-02-27,0.03,0.27,-0.24,-88.8889
56,2007-09-30,2007-10-26,0.21,0.4,-0.19,-47.5
57,2007-06-30,2007-07-18,0.31,0.42,-0.11,-26.1905
58,2007-03-31,2007-04-25,0.41,0.26,0.15,57.6923
59,2006-12-31,2007-02-26,0.2,0.39,-0.19,-48.7179
60,2006-09-30,2006-10-30,0.35,0.44,-0.09,-20.4545
