,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-02-02,0.87,0.63,0.24,38.0952
1,2022-09-30,2022-10-27,1.95,1.93,0.02,1.0363
2,2022-06-30,2022-07-28,3.86,3.86,0,0
3,2022-03-31,2022-04-28,3.05,2.95,0.1,3.3898
4,2021-12-31,2022-01-27,3.64,4.41,-0.77,-17.4603
5,2021-09-30,2021-10-28,5.36,4.85,0.51,10.5155
6,2021-06-30,2021-07-29,3.37,3.08,0.29,9.4156
7,2021-03-31,2021-04-29,1.08,0.91,0.17,18.6813
8,2020-12-31,2021-01-28,-0.27,-0.68,0.41,60.2941
9,2020-09-30,2020-10-29,-1.21,-1.45,0.24,16.5517
10,2020-06-30,2020-07-30,-2.67,-2.82,0.15,5.3191
11,2020-03-31,2020-04-30,-0.73,-0.88,0.15,17.0455
12,2019-12-31,2020-01-30,-0.64,-1.11,0.47,42.3423
13,2019-09-30,2019-10-31,-0.21,-0.29,0.08,27.5862
14,2019-06-30,2019-08-01,0.45,0.4,0.05,12.5
15,2019-03-31,2019-05-02,0.47,0.22,0.25,113.6364
16,2018-12-31,2019-01-30,1.82,1.84,-0.02,-1.087
17,2018-09-30,2018-11-01,1.79,1.74,0.05,2.8736
18,2018-06-30,2018-08-01,1.46,1.13,0.33,29.2035
19,2018-03-31,2018-04-26,0.32,0.29,0.03,10.3448
20,2017-12-31,2018-01-31,0.76,0.67,0.09,13.4328
21,2017-09-30,2017-10-31,0.92,0.71,0.21,29.5775
22,2017-06-30,2017-07-25,1.07,0.34,0.73,214.7059
23,2017-03-31,2017-04-25,-0.83,0.34,-1.17,-344.1176
24,2016-12-31,2017-01-31,0.27,0.01,0.26,2600
25,2016-09-30,2016-11-01,0.4,0.8,-0.4,-50
26,2016-06-30,2016-07-26,-0.31,-0.49,0.18,36.7347
27,2016-03-31,2016-04-26,-2.15,-1.23,-0.92,-74.7967
28,2015-12-31,2016-01-26,-0.23,-0.83,0.6,72.2892
29,2015-09-30,2015-11-03,-0.7,-0.2,-0.5,-250
30,2015-06-30,2015-07-28,-0.79,-0.65,-0.14,-21.5385
31,2015-03-31,2015-04-28,-0.07,0.12,-0.19,-158.3333
32,2014-12-31,2015-01-27,1.82,0.87,0.95,109.1954
33,2014-09-30,2014-10-28,2.16,1.17,0.99,84.6154
34,2014-06-30,2014-07-29,-0.12,-0.29,0.17,58.6207
35,2014-03-31,2014-04-29,0.34,0.31,0.03,9.6774
