,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-02-23,0.34,0.21,0.13,61.9048
1,2022-09-30,2022-11-03,1.04,0.93,0.11,11.828
2,2022-06-30,2022-08-04,3.26,2.72,0.54,19.8529
3,2022-03-31,2022-05-05,3.23,2.16,1.07,49.537
4,2021-12-31,2022-02-24,2.16,2.07,0.09,4.3478
5,2021-09-30,2021-11-04,3.87,2.53,1.34,52.9644
6,2021-06-30,2021-08-05,2.58,1.93,0.65,33.6788
7,2021-03-31,2021-05-07,1.91,1.29,0.62,48.062
8,2020-12-31,2021-02-25,0.16,0.07,0.09,128.5714
9,2020-09-30,2020-11-05,-0.14,-0.14,0,0
10,2020-06-30,2020-08-06,-0.35,-0.4,0.05,12.5
11,2020-03-31,2020-05-01,0.05,0.08,-0.03,-37.5
12,2019-12-31,2020-02-21,-0.08,-0.2,0.12,60
13,2019-09-30,2019-11-08,0.05,0.07,-0.02,-28.5714
14,2019-06-30,2019-08-01,0.18,0.16,0.02,12.5
15,2019-03-31,2019-05-02,0.18,0.22,-0.04,-18.1818
16,2018-12-31,2019-02-15,-0.11,0.19,-0.3,-157.8947
17,2018-09-30,2018-11-08,1.01,0.83,0.18,21.6867
18,2018-06-30,2018-08-02,1.39,1.26,0.13,10.3175
19,2018-03-31,2018-05-03,0.67,0.68,-0.01,-1.4706
20,2017-12-31,2018-03-02,-0.04,0.11,-0.15,-136.3636
21,2017-09-30,2017-11-08,0.22,0.13,0.09,69.2308
22,2017-06-30,2017-08-03,0.47,0.41,0.06,14.6341
23,2017-03-31,2017-04-28,0.55,0.4,0.15,37.5
24,2016-12-31,2017-03-02,-0.19,-0.21,0.02,9.5238
25,2016-09-30,2016-11-03,-0.06,0.39,-0.45,-115.3846
26,2016-06-30,2016-08-02,0.38,0.39,-0.01,-2.5641
27,2016-03-31,2016-04-29,-0.07,-0.15,0.08,53.3333
28,2015-12-31,2016-02-25,-0.4,-0.15,-0.25,-166.6667
29,2015-09-30,2015-11-05,-0.05,-0.09,0.04,44.4444
30,2015-06-30,2015-08-06,-0.08,-0.02,-0.06,-300
31,2015-03-31,2015-05-01,0.1,-0.4,0.5,125
32,2014-12-31,2015-02-26,-0.27,0.04,-0.31,-775
33,2014-09-30,2014-11-06,0.14,0.38,-0.24,-63.1579
34,2014-06-30,2014-08-07,0.32,0.45,-0.13,-28.8889
35,2014-03-31,2014-04-30,0.25,0.33,-0.08,-24.2424
36,2013-12-31,2014-02-27,-0.12,0.14,-0.26,-185.7143
37,2013-09-30,2013-10-31,0.12,0.38,-0.26,-68.4211
38,2013-06-30,2013-08-09,0.23,0.36,-0.13,-36.1111
39,2013-03-31,2013-05-03,0.36,0.28,0.08,28.5714
40,2012-12-31,2013-02-21,-0.32,0.08,-0.4,-500
41,2012-09-30,2012-11-08,0.15,0.35,-0.2,-57.1429
42,2012-06-30,2012-08-09,0.41,0.52,-0.11,-21.1538
